2026-05-13 10:16:32 | INFO    | lab_billing.core.invoice_numbering | increment_invoice_no: party=Dr. Vishwajeet Ajit Jha
2026-05-13 10:16:32 | INFO    | lab_billing.core.mrs_safety    | MRS backup created: d:\lab_billing_project v3\data\backups\Master_Rate_Sheet_20260513_101632_pre_inv_inc_Dr__Vishwajeet_Aji.xlsx
2026-05-13 10:16:32 | DEBUG   | lab_billing.core.mrs_safety    | MRS lock acquired (d:\lab_billing_project v3\data\Master_Rate_Sheet.xlsx.lock)
2026-05-13 10:16:32 | INFO    | lab_billing.core.invoice_numbering | Invoice number for Dr. Vishwajeet Ajit Jha: 3 → 4
2026-05-13 10:16:33 | DEBUG   | lab_billing.core.mrs_safety    | Atomic replace OK: d:\lab_billing_project v3\data\Master_Rate_Sheet.xlsx
2026-05-13 10:16:33 | DEBUG   | lab_billing.core.mrs_safety    | MRS lock released
2026-05-13 10:16:33 | DEBUG   | lab_billing.core.mrs_safety    | Pruned 1 old MRS backup(s)
2026-05-13 10:16:34 | INFO    | lab_billing.core.invoice_numbering | increment_invoice_no: party=Gupta Clinic-FBD
2026-05-13 10:16:34 | INFO    | lab_billing.core.mrs_safety    | MRS backup created: d:\lab_billing_project v3\data\backups\Master_Rate_Sheet_20260513_101634_pre_inv_inc_Gupta_Clinic_FBD.xlsx
2026-05-13 10:16:34 | DEBUG   | lab_billing.core.mrs_safety    | MRS lock acquired (d:\lab_billing_project v3\data\Master_Rate_Sheet.xlsx.lock)
2026-05-13 10:16:34 | INFO    | lab_billing.core.invoice_numbering | Invoice number for Gupta Clinic-FBD: 3 → 4
2026-05-13 10:16:35 | DEBUG   | lab_billing.core.mrs_safety    | Atomic replace OK: d:\lab_billing_project v3\data\Master_Rate_Sheet.xlsx
2026-05-13 10:16:35 | DEBUG   | lab_billing.core.mrs_safety    | MRS lock released
2026-05-13 10:16:35 | DEBUG   | lab_billing.core.mrs_safety    | Pruned 1 old MRS backup(s)
2026-05-13 10:16:35 | INFO    | lab_billing.core.invoice_numbering | increment_invoice_no: party=Tomar Hospital-FBD
2026-05-13 10:16:35 | INFO    | lab_billing.core.mrs_safety    | MRS backup created: d:\lab_billing_project v3\data\backups\Master_Rate_Sheet_20260513_101635_pre_inv_inc_Tomar_Hospital_FBD.xlsx
2026-05-13 10:16:35 | DEBUG   | lab_billing.core.mrs_safety    | MRS lock acquired (d:\lab_billing_project v3\data\Master_Rate_Sheet.xlsx.lock)
2026-05-13 10:16:36 | INFO    | lab_billing.core.invoice_numbering | Invoice number for Tomar Hospital-FBD: 3 → 4
2026-05-13 10:16:36 | DEBUG   | lab_billing.core.mrs_safety    | Atomic replace OK: d:\lab_billing_project v3\data\Master_Rate_Sheet.xlsx
2026-05-13 10:16:36 | DEBUG   | lab_billing.core.mrs_safety    | MRS lock released
2026-05-13 10:16:36 | DEBUG   | lab_billing.core.mrs_safety    | Pruned 1 old MRS backup(s)
2026-05-13 10:16:37 | INFO    | lab_billing.core.invoice_numbering | increment_invoice_no: party=Accord Superspeciality Hospital-FBD
2026-05-13 10:16:37 | INFO    | lab_billing.core.mrs_safety    | MRS backup created: d:\lab_billing_project v3\data\backups\Master_Rate_Sheet_20260513_101637_pre_inv_inc_Accord_Superspecia.xlsx
2026-05-13 10:16:37 | DEBUG   | lab_billing.core.mrs_safety    | MRS lock acquired (d:\lab_billing_project v3\data\Master_Rate_Sheet.xlsx.lock)
2026-05-13 10:16:37 | INFO    | lab_billing.core.invoice_numbering | Invoice number for Accord Superspeciality Hospital-FBD: 3 → 4
2026-05-13 10:16:38 | DEBUG   | lab_billing.core.mrs_safety    | Atomic replace OK: d:\lab_billing_project v3\data\Master_Rate_Sheet.xlsx
2026-05-13 10:16:38 | DEBUG   | lab_billing.core.mrs_safety    | MRS lock released
2026-05-13 10:16:38 | DEBUG   | lab_billing.core.mrs_safety    | Pruned 1 old MRS backup(s)
2026-05-13 10:16:38 | INFO    | lab_billing.core.invoice_numbering | increment_invoice_no: party=Bhardwaj Diagnostic Center-FBD
2026-05-13 10:16:39 | INFO    | lab_billing.core.mrs_safety    | MRS backup created: d:\lab_billing_project v3\data\backups\Master_Rate_Sheet_20260513_101638_pre_inv_inc_Bhardwaj_Diagnosti.xlsx
2026-05-13 10:16:39 | DEBUG   | lab_billing.core.mrs_safety    | MRS lock acquired (d:\lab_billing_project v3\data\Master_Rate_Sheet.xlsx.lock)
2026-05-13 10:16:39 | INFO    | lab_billing.core.invoice_numbering | Invoice number for Bhardwaj Diagnostic Center-FBD: 3 → 4
2026-05-13 10:16:40 | DEBUG   | lab_billing.core.mrs_safety    | Atomic replace OK: d:\lab_billing_project v3\data\Master_Rate_Sheet.xlsx
2026-05-13 10:16:40 | DEBUG   | lab_billing.core.mrs_safety    | MRS lock released
2026-05-13 10:16:40 | DEBUG   | lab_billing.core.mrs_safety    | Pruned 1 old MRS backup(s)
2026-05-13 10:16:40 | INFO    | lab_billing.core.invoice_numbering | increment_invoice_no: party=Preesha Healthcare-FBD
2026-05-13 10:16:40 | INFO    | lab_billing.core.mrs_safety    | MRS backup created: d:\lab_billing_project v3\data\backups\Master_Rate_Sheet_20260513_101640_pre_inv_inc_Preesha_Healthcare.xlsx
2026-05-13 10:16:40 | DEBUG   | lab_billing.core.mrs_safety    | MRS lock acquired (d:\lab_billing_project v3\data\Master_Rate_Sheet.xlsx.lock)
2026-05-13 10:16:41 | INFO    | lab_billing.core.invoice_numbering | Invoice number for Preesha Healthcare-FBD: 3 → 4
2026-05-13 10:16:41 | DEBUG   | lab_billing.core.mrs_safety    | Atomic replace OK: d:\lab_billing_project v3\data\Master_Rate_Sheet.xlsx
2026-05-13 10:16:41 | DEBUG   | lab_billing.core.mrs_safety    | MRS lock released
2026-05-13 10:16:41 | DEBUG   | lab_billing.core.mrs_safety    | Pruned 1 old MRS backup(s)
2026-05-13 10:16:42 | INFO    | lab_billing.core.invoice_numbering | increment_invoice_no: party=Dr Sanjay Singla - FBD
2026-05-13 10:16:42 | INFO    | lab_billing.core.mrs_safety    | MRS backup created: d:\lab_billing_project v3\data\backups\Master_Rate_Sheet_20260513_101642_pre_inv_inc_Dr_Sanjay_Singla__.xlsx
2026-05-13 10:16:42 | DEBUG   | lab_billing.core.mrs_safety    | MRS lock acquired (d:\lab_billing_project v3\data\Master_Rate_Sheet.xlsx.lock)
2026-05-13 10:16:42 | INFO    | lab_billing.core.invoice_numbering | Invoice number for Dr Sanjay Singla - FBD: 3 → 4
2026-05-13 10:16:43 | DEBUG   | lab_billing.core.mrs_safety    | Atomic replace OK: d:\lab_billing_project v3\data\Master_Rate_Sheet.xlsx
2026-05-13 10:16:43 | DEBUG   | lab_billing.core.mrs_safety    | MRS lock released
2026-05-13 10:16:43 | DEBUG   | lab_billing.core.mrs_safety    | Pruned 1 old MRS backup(s)
2026-05-13 10:16:43 | INFO    | lab_billing.core.invoice_numbering | increment_invoice_no: party=Kalra Childcare Centre - FBD
2026-05-13 10:16:43 | INFO    | lab_billing.core.mrs_safety    | MRS backup created: d:\lab_billing_project v3\data\backups\Master_Rate_Sheet_20260513_101643_pre_inv_inc_Kalra_Childcare_Ce.xlsx
2026-05-13 10:16:43 | DEBUG   | lab_billing.core.mrs_safety    | MRS lock acquired (d:\lab_billing_project v3\data\Master_Rate_Sheet.xlsx.lock)
2026-05-13 10:16:44 | INFO    | lab_billing.core.invoice_numbering | Invoice number for Kalra Childcare Centre - FBD: 4 → 5
2026-05-13 10:16:45 | DEBUG   | lab_billing.core.mrs_safety    | Atomic replace OK: d:\lab_billing_project v3\data\Master_Rate_Sheet.xlsx
